x,y,z
3820964220923,75383534,61
3820962921815,75383531,61
3820962210902,75383526,61
3820961779820,75383521,61
3820962350818,75383512,61
3820964099246,75383494,61
3820964748930,75383490,62
3820965311590,75383488,62
3820965890404,75383483,62
3820967030966,75383471,62
3820967264289,75383477,62
3820967561578,75383480,62
3820967768586,75383482,62
3820968541380,75383497,62
3820968888043,75383500,62
3820969122409,75383506,62
3820969593876,75383506,62
3820970005938,75383506,63
3820970116802,75383497,63
3820969885172,75383494,63
3820969488874,75383487,63
3820969120325,75383479,64
3820966711139,75383466,64
3820966003092,75383458,65
3820965996839,75383451,65
3820966100017,75383444,66
3820968703052,75383431,66
3820969528608,75383421,67
3820969905235,75383416,68
3820970379177,75383412,68
3820971731176,75383406,69
3820972744459,75383399,70
3820973880332,75383390,70
3820975093197,75383380,71
3820976743657,75383373,72
3820979756018,75383367,73
3820980583789,75383364,73
3820981445561,75383362,74
3820982659078,75383358,75
3820984027362,75383353,76
3820984839760,75383356,76
3820985550413,75383358,77
3820986064871,75383363,78
3820986235011,75383380,78
3820986701397,75383382,79
3820987104339,75383384,80
3820987633258,75383387,80
3820988335573,75383392,81
3820989138982,75383386,81
3820989972876,75383379,81
3820990550387,75383377,81
3820991070968,75383375,81
3820993494223,75383338,81
3820994284084,75383331,81
3820994423999,75383339,81
3820994209175,75383348,81
3820992745399,75383363,81
3820991592982,75383368,81
3820990250363,75383375,81
3820988541539,75383381,81
3820984854220,75383380,81
3820982130420,75383383,81
3820980008231,75383385,81
3820978239611,75383387,81
3820975244316,75383385,81
3820973250449,75383385,81
3820971661088,75383381,81
3820969682464,75383377,81
3820967529139,75383375,81
3820965625423,75383366,81
3820963261444,75383366,81
3820961075681,75383366,81
3820958226034,75383365,81
3820954877693,75383368,81
3820952406236,75383371,81
3820950158853,75383372,81
3820949186346,75383369,81
